Example 5-20: Stink bug damage to soybean pods
 
  Stink bug       Plant        Pod     Shriveling
   species       number      number      rating
 ------------------------------------------------
  Redbanded         4          21           4
  Redbanded         4          22           3
  Redbanded         4          23           5
  Redbanded         4          24           2
  Redbanded         4          25           2
  Redbanded         4          26           5
  Redbanded         4          27           3
  Redbanded         4          28           1
  Redbanded         4          29           2
  Redbanded         4          30           5
  Redbanded         4          31           1
  Redbanded         4          32           2
  Redbanded         4          33           5
  Redbanded         4          34           5
  Redbanded         4          35           1
  Redbanded         4          36           2
  Redbanded         4          37           4
  Redbanded         4          38           5
  Redbanded         4          39           1
  Redbanded         4          40           1
  Redbanded         4          41           1
  Redbanded         5           1           1
  Redbanded         5           2           5
  Redbanded         5           3           2
  Redbanded         5           4           3
  Redbanded         5           5           5
  Redbanded         5           6           3
  Redbanded         5           7           3
  Redbanded         5           8           5
  Redbanded         5           9           5
  Redbanded         5          10           3
  Redbanded         5          11           4
  Redbanded         5          12           3
  Redbanded         5          13           3
  Redbanded         5          14           3
  Redbanded         5          15           3
  Redbanded         5          16           3
  Redbanded         5          17           3
  Redbanded         5          18           2
  Redbanded         5          19           3
  Redbanded         5          20           5
  Redbanded         5          21           3
  Redbanded         5          22           5
  Redbanded         5          23           5
  Redbanded         5          24           5
  Redbanded         5          25           5
  Redbanded         5          26           1
  Redbanded         5          27           2
  Redbanded         5          28           1
  Redbanded         5          29           2
  Redbanded         5          30           1
  Redbanded         5          31           1
  Redbanded         5          32           1
  Redbanded         5          33           1
  Redbanded         5          34           1
  Redbanded         6           1           1
  Redbanded         6           2           1
  Redbanded         6           3           1
  Redbanded         6           4           5
  Redbanded         6           5           5
  Redbanded         6           6           2
  Redbanded         6           7           5
  Redbanded         6           8           1
  Redbanded         6           9           5
  Redbanded         6          10           1
  Redbanded         6          11           5
  Redbanded         6          12           1
  Redbanded         6          13           2
  Redbanded         6          14           5
  Redbanded         6          15           5
  Redbanded         6          16           2
  Redbanded         6          17           1
  Redbanded         6          18           1
  Redbanded         6          19           1
  Redbanded         6          20           1
  Redbanded         6          21           1
  Redbanded         6          22           1
  Redbanded         6          23           5
  Redbanded         6          24           1
  Redbanded         6          25           5
  Redbanded         6          26           1
  Redbanded         6          27           1
  Redbanded         6          28           1
  Redbanded         6          29           1
  Redbanded         6          30           1
  Redbanded         6          31           5
  Redbanded         6          32           5
  Redbanded         6          33           1
  Redbanded         6          34           1
  Redbanded         6          35           1
  Redbanded         6          36           5
  Redbanded         6          37           5
  Redbanded         6          38           5
  Redbanded         6          39           1
  Redbanded         6          40           5
  Redbanded         6          41           1
  Redbanded         6          42           5
  Redbanded         6          43           5
  Redbanded         6          44           1
  Redbanded         7           1           5
  Redbanded         7           2           5
  Redbanded         7           3           5
  Redbanded         7           4           5
  Redbanded         7           5           2
  Redbanded         7           6           3
  Redbanded         7           7           5
  Redbanded         7           8           5
  Redbanded         7           9           2
  Redbanded         7          10           5
  Redbanded         7          11           4
  Redbanded         7          12           2
  Redbanded         7          13           3
  Redbanded         7          14           5
  Redbanded         7          15           4
  Redbanded         7          16           3
  Redbanded         7          17           2
  Redbanded         7          18           2
  Redbanded         7          19           3
  Redbanded         7          20           3
  Redbanded         7          21           3
  Redbanded         7          22           3
  Redbanded         7          23           2
  Redbanded         7          24           2
  Redbanded         7          25           2
  Redbanded         7          26           2
  Redbanded         7          27           2
  Redbanded         7          28           2
  Redbanded         7          29           5
  Redbanded         7          30           1
  Redbanded         7          31           1
  Redbanded         7          32           3
  Redbanded         7          33           5
  Redbanded         7          34           1
  Redbanded         7          35           1
  Redbanded         7          36           1
  Redbanded         7          37           2
  Redbanded         7          38           1
  Redbanded         7          39           1
  Redbanded         7          40           1
  Redbanded         8           1           1
  Redbanded         8           2           2
  Redbanded         8           3           5
  Redbanded         8           4           5
  Redbanded         8           5           3
  Redbanded         8           6           2
  Redbanded         8           7           5
  Redbanded         8           8           2
  Redbanded         8           9           2
  Redbanded         8          10           5
  Redbanded         8          11           4
  Redbanded         8          12           3
  Redbanded         8          13           1
  Redbanded         8          14           3
  Redbanded         8          15           3
  Redbanded         8          16           1
  Redbanded         8          17           2
  Redbanded         8          18           5
  Redbanded         8          19           1
  Redbanded         8          20           5
  Redbanded         8          21           5
  Redbanded         8          22           5
  Redbanded         8          23           5
  Redbanded         8          24           5
  Redbanded         8          25           2
  Redbanded         8          26           1
  Redbanded         8          27           1
  Redbanded         8          28           2
  Redbanded         8          29           5
  Redbanded         8          30           5
  Redbanded         8          31           5
  Redbanded         8          32           2
  Redbanded         8          33           4
  Redbanded         8          34           5
  Redbanded         9           1           2
  Redbanded         9           2           5
  Redbanded         9           3           5
  Redbanded         9           4           3
  Redbanded         9           5           3
  Redbanded         9           6           5
  Redbanded         9           7           4
  Redbanded         9           8           5
  Redbanded         9           9           5
  Redbanded         9          10           5
  Redbanded         9          11           5
  Redbanded         9          12           5
  Redbanded         9          13           4
  Redbanded         9          14           5
  Redbanded         9          15           5
  Redbanded         9          16           3
  Redbanded         9          17           4
  Redbanded         9          18           5
  Redbanded         9          19           4
  Redbanded         9          20           1
  Redbanded         9          21           5
  Redbanded         9          22           2
  Redbanded         9          23           2
  Redbanded         9          24           1
  Redbanded         9          25           5
  Redbanded         9          26           1
  Redbanded         9          27           2
  Redbanded         9          28           3
  Redbanded         9          29           5
  Redbanded         9          30           1
  Redbanded         9          31           4
  Redbanded         9          32           1
  Redbanded         9          33           4
  Redbanded         9          34           5
  Redbanded         9          35           1
  Redbanded         9          36           2
  Redbanded         9          37           2
  Redbanded         9          38           1
  Redbanded         9          39           2
  Redbanded         9          40           1
  Redbanded         9          41           3
  Redbanded        10           1           4
  Redbanded        10           2           1
  Redbanded        10           3           2
  Redbanded        10           4           2
  Redbanded        10           5           5
  Redbanded        10           6           1
  Redbanded        10           7           3
  Redbanded        10           8           5
  Redbanded        10           9           4
  Redbanded        10          10           1
  Redbanded        10          11           1
  Redbanded        10          12           1
  Redbanded        10          13           2
  Redbanded        10          14           5
  Redbanded        10          15           2
  Redbanded        10          16           5
  Redbanded        10          17           2
  Redbanded        10          18           1
  Redbanded        10          19           5
  Redbanded        10          20           1
  Redbanded        10          21           5
  Redbanded        10          22           5
  Redbanded        10          23           1
  Redbanded        10          24           1
  Redbanded        10          25           5
  Redbanded        10          26           5
  Redbanded        10          27           1
  S.Green           1           1           3
  S.Green           1           2           2
  S.Green           1           3           2
  S.Green           1           4           1
  S.Green           1           5           1
  S.Green           1           6           2
  S.Green           1           7           5
  S.Green           1           8           1
  S.Green           1           9           1
  S.Green           1          10           3
